provenance_id,evidence_class,title,organisation_or_authors,publication_date,url,geography,process_boundary,reported_value,reported_unit,permitted_model_use,claim_ceiling
ASSUMP_SERVICE_CV_GRID,ILLUSTRATIVE_SCENARIO,Mean-preserving lognormal service-time CV grid,Project design decision,2026-07-29,,Comparative sandbox,Security and Immigration service-time shape sensitivity,0.0; 0.5; 1.0,coefficient of variation,Test conditional sensitivity while keeping the registered arithmetic means fixed,Not measured HTX distributions and not calibration forecast or staffing evidence
ASSUMP_REFERENCE_CAPACITY_RULE,TRANSPARENT_ASSUMPTION,Reference capacities selected near 85 percent offered-load utilisation,Project design decision,2026-07-27,,Comparative sandbox,Capacity design rule,ceil(lambda times service mean divided by 0.85),servers,Create an executable and reproducible reference assumption,Not observed staffing or installed capacity
ASSUMP_NONBINDING_QUEUE_5000,TRANSPARENT_ASSUMPTION,Effectively non-binding finite queue buffers,Project design decision,2026-07-27,,Comparative sandbox,Queue buffer,5000,travellers,Avoid silent loss while retaining a finite guard,Not observed physical queue capacity
ASSUMP_HORIZON_300S,TRANSPARENT_ASSUMPTION,Five-minute terminating arrival window,Project design decision,2026-07-27,,Comparative sandbox,Arrival cutoff,300,seconds,Pilot horizon followed by full drain,Not a shift or demand-cycle representation
ASSUMP_DEMAND_080_120,ILLUSTRATIVE_SCENARIO,Low and high demand multipliers,Project design decision,2026-07-27,,Comparative sandbox,Arrival-rate sensitivity,0.8 and 1.2,multiplier,Recommendation-stability sensitivity,Not measured off-peak or peak demand
ASSUMP_AUTOMATION_UPTAKE_050_100,ILLUSTRATIVE_SCENARIO,Effective automation uptake endpoints,Project design decision,2026-07-27,,Comparative sandbox,Eligible successful automated-service mixture,0.5 and 1.0,proportion,Screen technology threshold behaviour,Not observed adoption eligibility or success
ASSUMP_AUTOMATION_DISABLED_REFERENCE,TRANSPARENT_ASSUMPTION,Automation mixture disabled in the reference,Project design decision,2026-07-27,,Comparative sandbox,Technology branch,uptake 0 and identity multiplier,proportion and multiplier,Keep the reference process explicit before technology comparisons,Not a claim about current checkpoint technology
ASSUMP_ZERO_REFERRAL_REFERENCE,TRANSPARENT_ASSUMPTION,Zero referral in the initial reference,Project design decision,2026-07-27,,Comparative sandbox,Additional-check branch,0,proportion,Keep the reference executable while testing risk separately,Not a claim that actual referrals are zero
ASSUMP_PILOT_REPS_10,TRANSPARENT_ASSUMPTION,Ten pilot replications before confirmatory freeze,Project analysis plan,2026-07-27,,Comparative sandbox,Pilot output analysis,10,replications,Estimate variance and test the export pipeline,Not evidence that ten is confirmatory precision
ASSUMP_MASTER_SEED_POLICY,TRANSPARENT_ASSUMPTION,Shared master seed with pairing disabled until alignment passes,Project analysis plan,2026-07-27,,Comparative sandbox,Random-number lineage,2026072800,integer seed,Make pilot runs reproducible and permit later alignment audit,A shared seed alone does not establish CRN
